Date,Time,Description,Amount,Category,Type,Payment Mode,Transaction ID
2025-07-01,10:30,Salary Credited,312000,Income,Income,Bank Transfer,SAL20250701001
2025-07-01,13:21,Gold Investment,-8720,Investment,Expense,Net Banking,TXN202507010000
2025-07-01,14:18,South Indian Restaurant,-310,Food & Dining,Expense,Net Banking,TXN202507010000
2025-07-01,14:24,Local Restaurant,-1220,Food & Dining,Expense,Card,TXN202507010000
2025-07-01,21:00,Chinese Restaurant,-780,Food & Dining,Expense,Net Banking,TXN202507010000
2025-07-01,22:00,Spotify Premium,-120,Entertainment,Expense,Card,TXN202507010000
2025-07-02,16:39,Swiggy Order,-180,Food & Dining,Expense,Cash,TXN202507020000
2025-07-02,16:42,Ola Cab,-100,Transportation,Expense,Net Banking,TXN202507020000
2025-07-03,12:02,Electricity Bill,-2850,Utilities,Expense,Card,TXN202507030000
2025-07-03,12:28,Gym Membership,-2730,Healthcare,Expense,Net Banking,TXN202507030000
2025-07-03,14:15,Burger King,-250,Food & Dining,Expense,Card,TXN202507030000
2025-07-03,17:19,Bakery Items,-130,Food & Dining,Expense,Card,TXN202507030000
2025-07-03,21:36,Skill Development,-2530,Education,Expense,UPI,TXN202507030000
2025-07-03,21:44,Lifestyle Store,-4260,Shopping,Expense,Card,TXN202507030000
2025-07-04,10:00,Star Bazaar,-3000,Groceries,Expense,Net Banking,TXN202507040000
2025-07-04,10:29,Biryani Restaurant,-720,Food & Dining,Expense,Cash,TXN202507040000
2025-07-04,12:16,Toll Charges,-80,Transportation,Expense,Net Banking,TXN202507040000
2025-07-04,15:32,Rapido Bike,-120,Transportation,Expense,Cash,TXN202507040000
2025-07-04,21:57,Petrol Pump,-1430,Transportation,Expense,Cash,TXN202507040000
2025-07-04,22:21,Parking Fees,-40,Transportation,Expense,UPI,TXN202507040000
2025-07-04,23:10,Amazon Shopping,-970,Shopping,Expense,Card,TXN202507040000
2025-07-05,06:15,Internet Bill,-1440,Utilities,Expense,Cash,TXN202507050000
2025-07-05,06:39,Water Bill,-340,Utilities,Expense,UPI,TXN202507050000
2025-07-05,10:59,Nature's Basket,-1820,Groceries,Expense,Card,TXN202507050000
2025-07-05,13:38,Amazon Shopping,-620,Shopping,Expense,Card,TXN202507050000
2025-07-05,14:18,Burger King,-280,Food & Dining,Expense,Net Banking,TXN202507050000
2025-07-05,15:40,Lifestyle Store,-4780,Shopping,Expense,UPI,TXN202507050000
2025-07-05,17:26,Maintenance Charges,-3520,Utilities,Expense,UPI,TXN202507050000
2025-07-05,20:04,Petrol Pump,-560,Transportation,Expense,Cash,TXN202507050000
2025-07-05,22:30,Ice Cream Parlor,-180,Food & Dining,Expense,UPI,TXN202507050000
2025-07-06,12:36,Croma Electronics,-5940,Shopping,Expense,Card,TXN202507060000
2025-07-06,13:59,Petrol Pump,-2960,Transportation,Expense,Cash,TXN202507060000
2025-07-06,15:14,Starbucks Coffee,-300,Food & Dining,Expense,Net Banking,TXN202507060000
2025-07-06,21:07,Friend Payment,-190,Transfer,Expense,UPI,TXN202507060000
2025-07-07,12:00,Reliance Fresh,-1230,Groceries,Expense,UPI,TXN202507070000
2025-07-07,17:44,Friend Payment,-1570,Transfer,Expense,Card,TXN202507070000
2025-07-07,18:02,Mobile Recharge,-500,Utilities,Expense,Cash,TXN202507070000
2025-07-07,20:41,Spencer's Retail,-1470,Groceries,Expense,Card,TXN202507070000
2025-07-08,10:13,Blinkit Delivery,-320,Groceries,Expense,Cash,TXN202507080000
2025-07-08,16:47,Dominos Pizza,-620,Food & Dining,Expense,Card,TXN202507080000
2025-07-08,20:57,Bike Service,-540,Transportation,Expense,Net Banking,TXN202507080000
2025-07-08,23:25,YouTube Premium,-150,Entertainment,Expense,Cash,TXN202507080000
2025-07-09,07:12,Burger King,-350,Food & Dining,Expense,UPI,TXN202507090000
2025-07-09,12:21,1mg Medicine Order,-1460,Healthcare,Expense,Card,TXN202507090000
2025-07-09,16:48,Family Support,-9850,Transfer,Expense,UPI,TXN202507090000
2025-07-09,23:13,Metro Recharge,-270,Transportation,Expense,Cash,TXN202507090000
